train_number,total_distance_traveled
107,78
108,83
128,978
290,2694
401,1618
421,1276
422,1277
477,2616
502,1206
504,1313
506,1161
557,1301
604,1429
1011,841
1037,513
1038,503
1045,563
1119,1329
1120,1319
1122,569
1196,1332
1301,976
1302,973
1442,1581
1655,1050
1656,1050
1705,1261
1706,1262
1707,1360
1708,1362
2025,579
2026,569
2191,1123
2192,1123
2195,551
2196,549
2515,3939
2651,62
2652,62
2731,1854
2732,1853
2821,2066
2822,2073
2833,2332
2834,2351
2841,1656
2842,1656
2845,1770
2846,1791
3101,523
3102,522
3301,58
3302,58
3305,3
3306,3
3307,4
3308,4
3501,1193
3502,1193
4401,710
4402,710
4409,653
4410,653
4419,1916
4420,1924
4735,691
4736,691
4767,67
4768,67
4769,67
4770,67
4771,232
4772,232
4773,125
4774,125
4801,21
4802,21
4831,882
4832,881
4851,197
4852,197
4853,42
4854,42
4921,81
4922,81
4991,99
4992,99
5061,112
5062,112
5065,503
5066,505
5105,64
5106,64
5305,136
5306,136
5309,81
5310,81
5521,81
5522,81
5613,85
5614,85
5619,153
5620,153
5631,380
5632,379
5715,87
5716,87
5719,204
5720,205
5863,89
5864,88
5865,426
5866,425
6001,649
6002,649
6006,699
6009,1844
6010,1843
6041,849
6042,851
6043,849
6044,852
6046,852
6047,849
6048,852
6049,855
6050,857
6053,626
6054,627
6057,1656
6058,1655
6065,500
6066,501
6067,522
6068,522
6081,45
6082,45
6412,2462
6512,77
6513,17
6541,881
6542,878
6547,632
6548,634
6579,1089
6580,1086
6581,607
6582,604
6591,62
6592,61
6593,10
6594,10
6595,33
6596,33
6647,89
6648,89
6769,116
6770,116
6851,10
6852,10
6853,10
6854,10
6919,247
6920,248
7005,2276
7006,2297
7007,2023
7008,2033
7016,670
7044,735
7061,217
7062,437
7075,554
7076,553
7109,1589
7110,1593
7113,1543
7133,1508
7134,1511
7141,1560
7142,1563
7146,763
7149,2563
7211,1433
7212,1436
7213,1221
7214,1226
7217,1360
7218,1363
7410,1147
7417,1330
7418,1331
7425,537
7426,537
7429,742
7430,744
7431,597
7432,597
7435,555
7436,554
7438,1533
7439,1533
7487,735
7505,1973
7509,1886
7517,350
7525,322
7526,322
7603,624
7604,624
7607,1014
7608,1016
7613,1636
7614,1641
7644,597
7645,587
